Table 1: Contract Year (CY) 2027 Durable Medical Equipment (DME) Diabetic Monitors Copayment Limit for Lower and Intermediate Maximum Out-of-Pocket (MOOP) Types,,
Row Reference,Description,Lower and Intermediate MOOP Types
A,CY 2027 projected total average Medicare FFS allowed amount*,$149.08 
B,CY 2027 coinsurance limit per § 422.100(f)(6)(i),50%
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(f)(6)(i) (row A multiplied by row B),$74.54 
D,Final CY 2027 copayment limit per § 422.100(f)(6)(i) and (j)(1) (row C rounded per § 422.100(f)(6)(ii))  ,$75.00 
"* This amount is based on the first three quarters of 2025 Medicare FFS published prices and utilization and then to project to CY 2027, the Office of the Actuary (OACT) applied the increase between 2025 to 2027 to that data. This amount represents the CY 2027 projected total average Medicare FFS allowed amount for diabetic monitors (e.g., continuous and blood glucose monitors), weighted by utilization. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,
,,
,,
Table 2: CY 2027 DME Diabetic Monitors Copayment Limit for Mandatory Maximum Out-of-Pocket (MOOP) Type,,
Row Reference,Description,Mandatory MOOP Type1
A,CY 2027 projected total average Medicare FFS allowed amount*,$149.08 
B,CY 2027 coinsurance limit per § 422.100(j)(1),20%
C,Unrounded actuarially equivalent copayment value to CY 2027 coinsurance limit per § 422.100(j)(1) (row A multiplied by row B),$29.82 
D,Final CY 2027 copayment limit per § 422.100(j)(1) and (f)(8)(ii)(D) (row C rounded per § 422.100(f)(6)(ii))  ,$30.00 
"* This amount is based on the first three quarters of 2025 Medicare FFS published prices and utilization and then to project to CY 2027, the Office of the Actuary (OACT) applied the increase between 2025 to 2027 to that data. This amount represents the CY 2027 projected total average Medicare FFS allowed amount for diabetic monitors (e.g., continuous and blood glucose monitors), weighted by utilization. The OACT employed generally accepted actuarial principles and practices in calculating this projected amount (per § 422.100(f)(7)). ",,
